episode_id,start_timestamp,end_timestamp,duration_hours,n_scored_hours,mean_actual_pm25,max_actual_pm25,m0_mae,m1_mae,m2_mae,m3_mae,m0_mean_residual,m1_mean_residual,m2_mean_residual,m3_mean_residual
32,2014-11-19 10:00:00,2014-11-20 20:00:00,35,35,341.2857142857143,409.0,268.2857142857143,166.76187537468192,131.16181031300522,143.4095634022227,268.2857142857143,166.76187537468192,131.16181031300522,143.4095634022227
33,2014-11-21 09:00:00,2014-11-21 09:00:00,1,1,287.0,287.0,214.0,124.00258173470732,95.30000000000001,102.17045246482326,214.0,124.00258173470732,95.30000000000001,102.17045246482326
34,2014-11-24 01:00:00,2014-11-24 01:00:00,1,1,289.0,289.0,216.0,135.56466417027696,27.117647058823536,114.43444457631878,216.0,135.56466417027696,27.117647058823536,114.43444457631878
35,2014-11-25 22:00:00,2014-11-26 02:00:00,5,5,311.6,342.0,238.6,120.12303700226576,99.08981481481484,92.01012434505796,238.6,120.12303700226576,99.08981481481484,92.01012434505796
36,2014-11-26 15:00:00,2014-11-27 02:00:00,12,12,401.4166666666667,522.0,328.4166666666667,216.07779974673392,212.66871770025838,217.643501633868,328.4166666666667,216.07779974673392,212.66871770025838,217.643501633868
37,2014-11-29 07:00:00,2014-11-29 22:00:00,16,16,327.0,393.0,254.0,146.06460627536143,136.67650462962962,139.46777940767493,254.0,146.06460627536143,136.67650462962962,139.46777940767493
38,2014-12-09 12:00:00,2014-12-10 08:00:00,21,21,341.7142857142857,390.0,268.7142857142857,179.53301725554107,139.21499209822045,135.83338067984383,268.7142857142857,179.53301725554107,139.21499209822045,135.83338067984383
39,2014-12-15 02:00:00,2014-12-15 05:00:00,4,4,299.0,307.0,226.0,157.9082861872214,103.56969759379396,124.37448970513266,226.0,157.9082861872214,103.56969759379396,124.37448970513266
40,2014-12-27 18:00:00,2014-12-28 05:00:00,12,12,355.0,444.0,282.0,194.07967732160682,162.8808349053213,167.890387814908,282.0,194.07967732160682,162.8808349053213,167.890387814908
41,2014-12-28 21:00:00,2014-12-29 04:00:00,8,8,344.375,373.0,271.375,172.42808884822114,182.47680379946152,153.98604237214556,271.375,172.42808884822114,182.47680379946152,153.98604237214556
