feature,gain
CO_gap_age_at_origin,0.0
CO_observed_at_origin,0.0
CO_observed_frac_6h,0.0
CO_w48_min,0.0
DEWP_observed_at_origin,0.0
DEWP_observed_frac_24h,0.0
DEWP_observed_frac_48h,0.0
DEWP_observed_frac_6h,0.0
NO2_gap_age_at_origin,0.0
NO2_lag6,0.0
NO2_observed_at_origin,0.0
NO2_observed_frac_24h,0.0
NO2_observed_frac_48h,0.0
O3_gap_age_at_origin,0.0
O3_observed_at_origin,0.0
O3_observed_frac_24h,0.0
O3_observed_frac_48h,0.0
PM10_gap_age_at_origin,0.0
PM10_observed_at_origin,0.0
PM10_observed_frac_24h,0.0
PM2.5_gap_age_at_origin,0.0
PM2.5_observed_at_origin,0.0
PM2.5_observed_frac_24h,0.0
PRES_observed_at_origin,0.0
PRES_observed_frac_24h,0.0
PRES_observed_frac_6h,0.0
RAIN_lag2,0.0
RAIN_lag3,0.0
RAIN_observed_at_origin,0.0
RAIN_observed_frac_24h,0.0
RAIN_observed_frac_48h,0.0
RAIN_observed_frac_6h,0.0
RAIN_w12_max,0.0
RAIN_w12_min,0.0
RAIN_w24_min,0.0
RAIN_w48_min,0.0
SO2_gap_age_at_origin,0.0
SO2_lag2,0.0
SO2_observed_at_origin,0.0
TEMP_observed_at_origin,0.0
TEMP_observed_frac_24h,0.0
TEMP_observed_frac_48h,0.0
TEMP_observed_frac_6h,0.0
WSPM_lag3,0.0
WSPM_observed_at_origin,0.0
WSPM_observed_frac_24h,0.0
WSPM_observed_frac_48h,0.0
WSPM_observed_frac_6h,0.0
rain_occurred_at_origin,0.0
rain_occurred_w6_mean,0.0
station_is_Aotizhongxin,0.0
station_is_Dongsi,0.0
station_is_Guanyuan,0.0
station_is_Tiantan,0.0
station_is_Wanshouxigong,0.0
target_hour_cos,0.0
target_hour_sin,0.0
wd_is_E,0.0
wd_is_ESE,0.0
wd_is_MISSING,0.0
