station,event_id,model,horizon_hours,severe_hours,event_MAE,event_mean_residual,prediction_at_peak,residual_at_peak,abs_error_at_peak,underpredicted_peak,predicted_severe_at_first_severe_hour,predicted_severe_hours
Aotizhongxin,16,B0,12,2,47.0,-47.0,304.0,-38.0,38.0,false,true,2
Aotizhongxin,16,B0,24,2,57.0,57.0,204.0,62.0,62.0,true,false,0
Aotizhongxin,17,B3_R2,1,11,16.051027,5.234462,267.87323,31.12677,31.12677,true,false,10
Aotizhongxin,17,B3_R2,6,11,61.328794,58.991125,143.459015,155.540985,155.540985,true,false,4
Aotizhongxin,17,B3_R2,12,11,111.099986,111.099986,131.90947,167.09053,167.09053,true,false,0
Aotizhongxin,17,B3_R2,24,11,137.626443,137.626443,120.943863,178.056137,178.056137,true,false,0
Aotizhongxin,17,GRU_R1,1,11,15.229993,9.46737,259.187775,39.812225,39.812225,true,false,10
Aotizhongxin,17,GRU_R1,6,11,58.554163,58.497961,155.667526,143.332474,143.332474,true,false,5
Aotizhongxin,17,GRU_R1,12,11,116.827047,116.827047,145.603821,153.396179,153.396179,true,false,0
Aotizhongxin,17,GRU_R1,24,11,119.861409,119.861409,139.867371,159.132629,159.132629,true,false,0
Aotizhongxin,17,B0,1,11,19.181818,5.909091,269.0,30.0,30.0,true,false,10
Aotizhongxin,17,B0,6,11,73.636364,63.272727,126.0,173.0,173.0,true,false,5
Aotizhongxin,17,B0,12,11,123.727273,123.727273,176.0,123.0,123.0,true,false,0
Aotizhongxin,17,B0,24,11,132.272727,132.272727,110.0,189.0,189.0,true,false,0
Aotizhongxin,18,B3_R2,1,7,22.2947,3.252864,309.222076,24.777924,24.777924,true,true,7
Aotizhongxin,18,B3_R2,6,7,89.060187,89.060187,165.09375,168.90625,168.90625,true,false,1
Aotizhongxin,18,B3_R2,12,7,166.948596,166.948596,120.471817,213.528183,213.528183,true,false,0
Aotizhongxin,18,B3_R2,24,7,226.040077,226.040077,78.654778,255.345222,255.345222,true,false,0
Aotizhongxin,18,GRU_R1,1,7,22.472944,19.665833,290.349182,43.650818,43.650818,true,false,6
Aotizhongxin,18,GRU_R1,6,7,70.47101,69.615786,210.095291,123.904709,123.904709,true,false,1
Aotizhongxin,18,GRU_R1,12,7,82.622049,82.622049,207.87851,126.12149,126.12149,true,false,0
Aotizhongxin,18,GRU_R1,24,7,100.764646,100.764646,228.58252,105.41748,105.41748,true,false,0
Aotizhongxin,18,B0,1,7,24.571429,2.857143,309.0,25.0,25.0,true,false,6
Aotizhongxin,18,B0,6,7,77.428571,72.857143,206.0,128.0,128.0,true,false,1
Aotizhongxin,18,B0,12,7,58.0,58.0,228.0,106.0,106.0,true,true,3
Aotizhongxin,18,B0,24,7,85.714286,84.285714,269.0,65.0,65.0,true,false,3
Aotizhongxin,19,B3_R2,1,16,12.08186,9.17672,303.164337,21.835663,21.835663,true,false,15
Aotizhongxin,19,B3_R2,6,16,70.488757,70.488757,267.541443,57.458557,57.458557,true,false,7
Aotizhongxin,19,B3_R2,12,16,133.550995,133.550995,170.012451,154.987549,154.987549,true,false,0
Aotizhongxin,19,B3_R2,24,16,175.080254,175.080254,134.967834,190.032166,190.032166,true,false,0
Aotizhongxin,19,GRU_R1,1,16,26.352568,26.352568,276.461853,48.538147,48.538147,true,false,15
Aotizhongxin,19,GRU_R1,6,16,73.139739,73.139739,268.861328,56.138672,56.138672,true,false,10
Aotizhongxin,19,GRU_R1,12,16,132.504059,132.504059,147.979706,177.020294,177.020294,true,false,3
Aotizhongxin,19,GRU_R1,24,16,160.825701,160.825701,146.034546,178.965454,178.965454,true,false,0
Aotizhongxin,19,B0,1,16,11.5625,4.0625,318.0,7.0,7.0,true,false,15
Aotizhongxin,19,B0,6,16,70.75,49.125,308.0,17.0,17.0,true,false,10
