model,station,horizon_hours,lag_hours,acf,n_pairs
B3_R2,Shunyi,1,2,0.056719,8288
B3_R2,Shunyi,1,3,0.05069,8275
B3_R2,Shunyi,1,6,-0.017224,8233
B3_R2,Shunyi,1,12,-0.005963,8189
B3_R2,Shunyi,1,24,-0.000306,8138
B3_R2,Shunyi,1,48,0.011909,8080
B3_R2,Shunyi,1,72,0.015805,8057
B3_R2,Shunyi,1,168,0.006034,7964
B3_R2,Shunyi,6,1,0.868718,8319
B3_R2,Shunyi,6,2,0.69656,8288
B3_R2,Shunyi,6,3,0.514844,8275
B3_R2,Shunyi,6,6,0.044786,8233
B3_R2,Shunyi,6,12,-0.038297,8189
B3_R2,Shunyi,6,24,0.073991,8138
B3_R2,Shunyi,6,48,0.069458,8080
B3_R2,Shunyi,6,72,0.043329,8057
B3_R2,Shunyi,6,168,0.04687,7964
B3_R2,Shunyi,12,1,0.934142,8319
B3_R2,Shunyi,12,2,0.845709,8288
B3_R2,Shunyi,12,3,0.752399,8275
B3_R2,Shunyi,12,6,0.494086,8233
B3_R2,Shunyi,12,12,0.098627,8189
B3_R2,Shunyi,12,24,0.098976,8138
B3_R2,Shunyi,12,48,0.085213,8080
B3_R2,Shunyi,12,72,0.075734,8057
B3_R2,Shunyi,12,168,0.021469,7964
B3_R2,Shunyi,24,1,0.960164,8319
B3_R2,Shunyi,24,2,0.905291,8288
B3_R2,Shunyi,24,3,0.847862,8275
B3_R2,Shunyi,24,6,0.686768,8233
B3_R2,Shunyi,24,12,0.453345,8189
B3_R2,Shunyi,24,24,0.211754,8138
B3_R2,Shunyi,24,48,0.155201,8080
B3_R2,Shunyi,24,72,0.146744,8057
B3_R2,Shunyi,24,168,0.016251,7964
B3_R2,Tiantan,1,1,0.252377,8558
B3_R2,Tiantan,1,2,0.047046,8534
B3_R2,Tiantan,1,3,0.01528,8522
B3_R2,Tiantan,1,6,-0.026213,8506
B3_R2,Tiantan,1,12,0.016507,8487
B3_R2,Tiantan,1,24,0.000592,8462
B3_R2,Tiantan,1,48,0.018033,8441
B3_R2,Tiantan,1,72,-0.000358,8416
B3_R2,Tiantan,1,168,0.003981,8324
B3_R2,Tiantan,6,1,0.868527,8558
B3_R2,Tiantan,6,2,0.682959,8534
B3_R2,Tiantan,6,3,0.500516,8522
B3_R2,Tiantan,6,6,0.059841,8506
B3_R2,Tiantan,6,12,0.054814,8487
B3_R2,Tiantan,6,24,0.054273,8462
B3_R2,Tiantan,6,48,0.066387,8441
